transaction_id,account_from,account_to,amount,currency,type,status,timestamp
TXN-001,FT-001,FT-002,1500.00,ZAR,TRANSFER,COMPLETED,2024-01-15 09:14:22
TXN-002,FT-003,FT-001,250.50,ZAR,DEPOSIT,COMPLETED,2024-01-15 09:22:07
TXN-003,FT-002,,800.00,ZAR,WITHDRAWAL,COMPLETED,2024-01-15 10:01:45
TXN-004,FT-001,FT-004,-50.00,ZAR,TRANSFER,FAILED,2024-01-15 10:15:33
TXN-005,FT-005,FT-001,3200.00,ZAR,TRANSFER,COMPLETED,2024-01-15 11:08:19
TXN-006,FT-002,FT-003,,ZAR,TRANSFER,PENDING,2024-01-15 11:44:02
TXN-007,FT-004,FT-005,450.75,ZAR,TRANSFER,COMPLETED,2024-01-15 12:02:58
TXN-008,FT-001,FT-002,9999.99,ZAR,TRANSFER,COMPLETED,2024-01-15 13:30:11
TXN-009,FT-003,FT-004,120.00,ZAR,WITHDRAWAL,FAILED,2024-01-15 14:05:44
TXN-010,FT-002,FT-005,675.25,ZAR,DEPOSIT,COMPLETED,2024-01-15 14:50:00
